,Glyph,Keep,English+,English Tailored
617,🍀,TRUE,"Lucky Day, Shamrock, Ireland, Charm, Luck","Luck O' The Irish, Feeling Lucky?, Leprechauns in Tokyo"
618,🎍,TRUE,"Plant, Bamboo, Shootz",Totally Tubular
619,🪴,TRUE,"Fern, Flora, Planter, Flowerpot, Bonsai",Monstera Deliciosa
620,🎋,FALSE,,
621,🍃,TRUE,"Tumble, Sway, Wisp, Swoosh, Rustle, Leaves, Breeze","Go With The Flow, Easy Peasy Breezy"
622,🍂,TRUE,"Autumn, Fall, Rake, Mulch, Crisp, Rustle, Harvest","Branchin Out, Fall Guy"
623,🍁,TRUE,"Maple, Crunch, Syrup, Canada, Toronto","Heritage Minute, Secretly Canadian, What Is A Fahrenheit, What Is A Mile, I AM CANADIAN!"
624,🪺,TRUE,Cuckoo,"Hatchin Plans, Best Nest, Nest Egg, Best Laid Plans"
625,🪹,FALSE,Nest,
626,🍄,TRUE,"Shroom, Toadstool, Shiitake, Puffball, Truffle, Morel, Portobello","Papa Smurf, A Fun Guy"
628,🐚,TRUE,"Seashell, Conch, Mollusk, Cockle, Tide, Seashore, Sandbar, Beachcomber",She Sells By The Sea Shore
629,🪸,TRUE,"Reef, Polyp, Coral, Fiji, Caribbean, Seychelles, Belize, Barbados",Branching Out
630,🪨,TRUE,"Rock, Anvil, Dwayne, Boulder, Fontainebleau, Yosemite, Sisyphus","El Capitan, The Rock, Sisyphean Buddy, Alternative Rock, Indie Rock, College Rock, Rolling Rock, Punk Rock, Baroque Rock, Folk Rock, Goth Rock, Noise Rock, Pagan Rock, Tropical Rock"
631,🌾,TRUE,"Grain, Prairie, Saskatchewan, Cereal, Paddy, Virgo",Non Dairy Beverage
632,💐,TRUE,"Proposal, Posy, Spray, Cluster, Nosegay, Corsage, Garland, Boutonniere, Buttonhole","Apology Accepted, Feeling Guilty, Encore! Encore!, You Shouldn't Have, Are These For Me?, Forgotten Anniversary, Arranged Foliage, Flower Power"
633,🌷,TRUE,"Tulip, Amsterdam, Ottawa, Bulb, Petal","Tulip Mania, Going Dutch, Petal 2 Da Metal, Spring Has Sprung, Budding Romance"
634,🌹,TRUE,"Rose, Romeo, Darcy, Heathcliff, Casanova","Full Bloom, Coming Up Roses, Between Two Thorns, Sub Rosa, Late Bloomer, Thorny Situation"
635,🥀,TRUE,"Petal, Droop, Thorn, Woe, Sorrow, Grief","Withering Remark, Love Me Not, Faded Glory, "
636,🪻,TRUE,"Hyacinth, Gorg, Purdy, Adorbs",
637,🪷,TRUE,"Lotus, Blossom, Zen, Bliss","Flyin Lotus, Water Lily"
638,🌺,TRUE,"Hibiscus, Bloom","Botanical Garden, Flower Power, Harold Bloomin"
639,🌸,TRUE,"Blossom, Sakura",Cherry Blossom
640,🌼,TRUE,Daisy,Whoopsie Daisy
641,🌻,TRUE,Sunflower,
642,🌞,TRUE,"Sun, Apollo, Fireball, Day","Soak It In, Walkin On Sunshine, Sun Basker, Catchin Rays"
643,🌝,TRUE,"Luna, Night, Moonlight, Moonwalker",The Moon Rocks
644,🌛,FALSE,,
645,🌜,FALSE,,
646,🌚,TRUE,"Moon, Dark, Blackout, Stealth, Disguise, Sneak, Lurk, Duck",
647,🌕,TRUE,"Moon, Moonrise, Eclipse","Full Moon, Blood Moon, Harvest Moon, Neil's House"
648,🌖,FALSE,,
649,🌗,FALSE,,
650,🌘,FALSE,,
651,🌑,FALSE,,
652,🌒,FALSE,,
653,🌓,FALSE,,
654,🌔,FALSE,,
655,🌙,FALSE,,
656,🌎,TRUE,"America, Brazil, Mexico, Colombia, Argentina, Canada, Peru, Venezuela, Chile",
657,🌍,TRUE,"Europe, Africa, France, Germany, UK, Italy, Spain, Congo, Nigeria, Egypt, Kenya, Algeria",
658,🌏,TRUE,"Asia, Oceania, Australia, New Zealand, China, India, Vietnam",
659,🪐,TRUE,"Saturn, Planet, Ring","Fasten Your Belt, Put A Ring On It"
660,💫,TRUE,"Quasar, Star, Comet, Galaxy, Nebula, Supernova","Reach 4 Me, Red Wine Supernova, Light Years Ahead"
661,⭐️,TRUE,"Star, Superstar","Glow Up, Twinkle Twinkle, Count Me If U Dare, Born To Be A Star, The Stars Are Aligned, Gassy Giant"
662,🌟,TRUE,"Betelgeuse, Twinkle, Sparkle, Dazzle, Glimmer, Sirius",
663,✨,TRUE,"Sparkle, Glitter, Twinkle, Glimmer, Shimmer, Dazzle, Glow, Glisten","Grease Lightning, I'm Shocked"
664,⚡️,TRUE,"Volt, Bolt, Zeus, Thor, Zap, Jolt, Livewire","When Inspiration Strikes, Flash Of Brilliance, High Voltage, Electron Slide, Amped Up, I'm Shocked, Power Outage, Beatin Charges, Light It Up, Charge Me, Gotta Bolt, Lightning Round"
665,☄️,TRUE,"Comet, Fireball, Meteoroid, Meteor, Asteroid, Stardust","Halley's Comet, Meteor Shower, Space Rocks"
666,💥,FALSE,Explosion,
667,🔥,FALSE,Fire,Rapid Fire
668,🌪️,TRUE,"Tornado, Tempest, Vortex, Typhoon, Dustdevil","Nature's Straw, Don't Get It Twisted, Blown Away, Bad Hair Day, Batten Down The Hairpiece, Riding It Out, Mild Turbulence, Spouting Nonsense, Not In Kansas Anymore"
669,🌈,TRUE,"Rainbow, Technicolor, Oz","Narrative Arc, Roy G. Biv, Howard Hues, Very Literate Rainbow, Pot Of Gold Ahoy, Double Rainbow"
670,☀️,TRUE,,
671,🌤️,TRUE,,
672,⛅️,TRUE,,
673,🌥️,TRUE,,
674,☁️,TRUE,"Cloud, Nimbus, Cirrus, Puff, Fluff, Stratus","Cloud Nine, Fog Thickens, Mist Opportunity"
675,🌦️,TRUE,Sunshower,
676,🌧️,TRUE,"Raindrop, Drizzle, Raincloud",Pitter Patter
677,⛈️,TRUE,"Tempest, Storm, Thunder, Lightning, Rain, Showerz, Downpour, Squall, Bolt, Thunderhead","She's Comin Down Now, Cats N Dogs"
678,🌩️,TRUE,"Lightning, Zeus, Thor, Strike, Thunderclap, Crack, Boom, Snap, Zing, Pop, Zap, Bang, Clang",
679,🌨️,TRUE,"Blizzard, Snowfall, Frost, Powpow, Flurry, Sleet, Slush, Hail, Powdah, Fluff, Snowflake","Let It Brr, Snow Big Deal, Hail Yeah"
680,❄️,TRUE,"Snowflake, Snowball, Snowbank, Crystal, Chill","Snow Fort, Snow Angel, Snow Day, One Very Cold Email, Snowball Fight"
681,☃️,TRUE,"Frosty, Bonhomme","Abominable Snowman, Warm Frosty"
682,⛄️,TRUE,Snowman,
683,🌬️,TRUE,"Gale, Zephyr, Chinook, Nor'easter, Squall, Gust, Puff, Blast","Saskatchewan Screamer, Alberta Clipper, Manitoba Mauler, Welcome 2 Kansas"
684,💨,TRUE,"Gust, Breeze, Wooosh",Blustery Breeze
685,💧,TRUE,"Sweat, Raindrop, Tear, Dew, Drizzle, Drip, Drop, Plop, Plink, Plip, Splish, Splash, Sploosh, Tinkle, Splat",
686,💦,FALSE,,
687,🫧,TRUE,"Jacuzzi, Carbonation, Bubble, Blister",
688,☔️,TRUE,"Downpour, Parasol, Umbrella",Umbrella Ella Ella
689,☂️,TRUE,Rain,
690,🌊,TRUE,"Breaker, Tide, Surge, Ripple, Tsunami, Swell, Undertow, Whitecap","Brain Wave, Tsunami Warning, Ripple Effect, Sink Or Swim, Water Under The Bridge, Surf's Up, Making A Splash, Sea Change, Roll Tide"
691,🌫️,FALSE,,
692,🍏,TRUE,"Apple, Granny, Sour, Brat",Fiona Apple
693,🍎,TRUE,"Fuji, Red, Gala, Macintosh, Crunch",How Dya Like Them Apples?
694,🍐,TRUE,Pear,Pearin Off
695,🍊,TRUE,"Kumquat, Tangerine, Clementine, Mandarin, Orange","Orange You Glad, Pulp Fiction"
696,🍋,TRUE,"Lemon, Zest, Pucker, Meyer, Peel","Main Squeeze, Lemony Snicket"
698,🍌,TRUE,"Fruit, Peel, Banana","Banana Split, Banana Pajamas, Monkey Business, Beware The Peel, Caught Me Slippin, Banana Republic, Banana For Scale"
699,🍉,TRUE,Watermelon,"Daily Rind, Melon Head, Felon Melon, Melon Collie"
700,🍇,TRUE,"Grapes, Cluster",Sour Grapes
701,🍓,TRUE,Strawberry,"Strawberry Fields 4Eva, Sweet Berry Wine!"
702,🫐,TRUE,"Bleubs, Berry, Blueberry, Huckleberry, Wildberry","Berry Special, Blue Period"
703,🍈,TRUE,"Melon, Cantaloupe, Honeydew","Melon Of Troy, Melon Degeneres"
704,🍒,TRUE,"Cherry, Pit","The Cherry On Top, Cherry Picked, Easy Pickins"
705,🍑,FALSE,Peach,"Peach Perfect, The King's Peach, Princess Peach"
706,🥭,TRUE,Mango,"Look At That Man Go, Dmango Unchained"
707,🍍,TRUE,Pineapple,"Pineapple Express, Core Memory, Hawaiian Pizza, A Bit Prickly, Maui Wowie, Piña Colada "
708,🥥,TRUE,Coconut,Rococo Coconut
709,🥝,TRUE,"Kiwi, Fuzz","Yeah Nah, Choice Kiwi"
710,🍅,TRUE,"Tomato, Squeeze, Salsa, Gazpacho, Tomatina","Main Squeeze, Crowd Favorite"
711,🍆,FALSE,Eggplant,
712,🥑,TRUE,Avocado,"Card Declined, Guac's Extra, Holy Guacamole, Standing Firm, Pit Stop"
713,🫛,TRUE,Pea Pod,"Two Peas in a Pod, Three Peas in a Pod, Four Peas in a Pod, Five Peas in a Pod"
714,🥦,TRUE,Broccoli,"Rocoli Brocoli, By Any Greens Necessary"
715,🥬,TRUE,Bok Choy,Sour Kraut
716,🥒,TRUE,"Cucumbah, Cuke","Inna Pickle, Pickle Picker, Peter Piper, Kosher Situation, Keeping It Cool, Brine Dining"
717,🌶️,TRUE,"Jalapeño, Chili, Tabasco, Cayenne, Spice","That's Thpicy, Sweatin Bullets, Real Scorcher, Slow Burn, Bear Spray V1, Firebreather Training"
718,🫑,TRUE,Peppah,Questionable Pepper
719,🌽,TRUE,Corncob,"Kernel Of Truth, All Ears, Husk Of Myself, Lost In The Maize, Butter Me Up, Golden Opportunity, Reap N Sow, Welcome 2 Iowa"
720,🥕,TRUE,"Carrot, Nightvision","What's Up Doc?, Root Of All Evil, Next Is The Stick, Crunch Time, "
721,🫒,TRUE,Olive,"Olive Branch, The Pit Of Despair, Oil Baron, Dirty Martini, Olive Or Twist?"
722,🧄,TRUE,Garlic,"Vampire Repellent, Breath Unfreshener"
723,🧅,TRUE,"Onion, Layers","No Dry Eyes Here, Court Of A Peel"
724,🥔,TRUE,Potato,"Potato Potato, Peeling Frisky"
725,🍠,TRUE,Yam,I Yam What I Yam
726,🫚,TRUE,Ginger,"Freshly Grated, Snappy Ginger, Ed Sheeran"
727,🥐,TRUE,"Croissant, Chocolatine, Cornetto","Kinda Flaky, Half Baked, Rise 2 The Occasion, Upper Crust, Left No Crumbs"
728,🥯,TRUE,"Bagel, Fairmount, St Viateur, Schmear","Schmear Campaign, Baker's Dozen, Fairmount Or Bust, Aesop's Bagels"
729,🍞,TRUE,"Loaf, Brioche, Pumpernickel, Challah","Breaded Up, Bready or Not, I Smell Burnt Toast!, Banana Bread, Gluten Tag, Rollin In Dough, All That I Kneaded, Flour Power, Making A Toast"
730,🥖,TRUE,"Baguette, ","Parc Dinner, En Garde, Baguette About It"
731,🥨,TRUE,Pretzel,"Knotty By Nature, Doughy Contortionist, Fo Schnitzel"
732,🧀,TRUE,"Cheese, Gouda, Brie, Havarti, Feta, Queso, Mozza, Cheddah","Spray Cheese, Squeak Preview, Welcome 2 Wisconsin"
733,🥚,TRUE,Egg,"Before The Chicken, Humpty Dumpty"
734,🍳,TRUE,Scramble,"Sunny Side Up, It's Always Sunny, Crackin Up"
735,🧈,TRUE,Butter,I Can't Believe It Is
736,🥞,TRUE,Flapjack,"Hot Stack, Griddle Me This"
737,🧇,TRUE,Waffle,Batter Up!
738,🥓,TRUE,Bacon,"Shakin Bacon, Makin Bacon Pancakes, Epic Meal Time"
739,🥩,TRUE,Beef,"We're Currently Beefing, High Steaks, Up In My Grill"
740,🍗,TRUE,Drumstick,"Wingin It, Leg Day, Welcome 2 Kentucky"
741,🍖,TRUE,Hambone,"I Ham What I Ham, Jon Hamm"
742,🦴,TRUE,Bone,"Bone Appetit, Bone Of Contention, Here Doggie, Bona Fide"
743,🌭,TRUE,Hot Dog,"Costco's Finest, Full O' Baloney, Let Us Be Frank, Wurst Case Scenario, Lucky Dog, Hot Dog Cannon"
744,🍔,TRUE,Burger,"Krabby Patty, This Is A Wendy's, No Bun Intended, Bite Me"
745,🍟,TRUE,French Fry,"Fry Day, Crinkle Proof, Vocal Fry, Golden Arches, Freshly Dunked"
746,🍕,TRUE,Pizza,"Slice Of Life, Crust Fund Baby, Pizza Pizza, The Mythical Dollar Slice, Pizza Tracker, Deep Dish, Upper Crust, Mamma Mia Pizzeria, Cheese Triangle, The Curse Of Chicago, Hot Boi"
747,🫓,TRUE,"Boustan, Pita, Naan, Flatbread",Naan Stop
748,🥪,TRUE,"Sammich, Sando",
749,🥙,TRUE,Pita,
750,🧆,TRUE,Falafel,
751,🌮,TRUE,Taco,
752,🌯,TRUE,Burrito,Little Donkey
753,🫔,TRUE,Tamale,
754,🥗,TRUE,"Lettuce, Cobb, Caesar, Wedge, Green, Salad",A Real Tossup
755,🥘,TRUE,"Dinner, Paella",
756,🫕,TRUE,"Fondue, Raclette",The Big Dipper
757,🥫,TRUE,Ketchup,"Andy's Finest, Good Soup, Too Much Sauce"
758,🫙,TRUE,Mason,"A Jar, Out Of Reach, Swear Jar, Free Mason"
759,🍝,TRUE,Spaghetti,"Spaghetti Code, Fork Out, Copy Pasta, Big Canoodle"
760,🍜,TRUE,Noodle,
761,🍲,TRUE,Pot,"Un-Pho-Gettable, Pho Sure, Pho Shizzle, Chop Suey"
762,🍛,TRUE,Curry,
763,🍣,TRUE,Sushi,"Nori Grets, Wasabi Lobby, Raw Deal"
764,🍱,TRUE,Shellfish,
765,🥟,TRUE,"Dumpling, Gyoza, Bao",
766,🦪,TRUE,Clambake,"Shellin Out, Aw Shucks, Sweet Mother Of Pearl"
767,🍤,TRUE,Prawn,
768,🍙,FALSE,,
769,🍚,FALSE,,
770,🍘,FALSE,,
771,🍥,FALSE,,
772,🥠,TRUE,Fortune,"Bold Fortune, Fate Is Sealed, Lucky Day, Unfortunate Cookie"
773,🥮,TRUE,Mooncake,
774,🍢,FALSE,,
775,🍡,FALSE,,
776,🍧,TRUE,Sorbet,
777,🍨,TRUE,Sundae,
778,🍦,TRUE,"Cone, Twist, Soft-serve","Cold Comfort, Just Desserts, Get The Scoop, Vanilla Experience, Extra Sprinkles, Soft Serve, Cone Of Shame"
779,🥧,TRUE,Pie,"Humble Pie, Pie Hole"
780,🧁,TRUE,Cupcake,
781,🍰,TRUE,Cheesecake,"Just Desserts, Eat It 2, Dessert Island, Boulangerie Marie Antoinette"
782,🎂,TRUE,Birthday,That Takes The Cake
783,🍮,TRUE,"Custard, Flan",
784,🍭,TRUE,"Lollipop, Lolly","Lolli Poppins, Sugar Coated, That's Sweet"
785,🍬,TRUE,Candy,Tutti Frutti
786,🍫,TRUE,Wonka,"Golden Ticket, Chocolate Thunder, Toblerone Diplomacy, Gimme A Break, Fudged Fact, Choco Loco, Gimme Some Sugar, Breaking It Off, Oompa Loompa Union, Nanaimo Bar, Casa Del Chocolo"
787,🍿,TRUE,Popcorn,"Big Poppa, Extra Buttah, Poppin Off, A Bit Salty, Puff Piece, Movie Tax, Hard-Won Concession, Microwave Dinner, Reverse ASMR"
788,🍩,TRUE,Donut,"Hole In One, Dollars to Donuts, Vincent Van Doughnuts"
789,🍪,TRUE,Cookie,"A Chip Off The Old Block, Accept All Cookies, Disable Cookies, Browser Cookies, Limp Biscuit"
790,🌰,FALSE,,
791,🥜,TRUE,Peanut,"Shell Company, Feelin Nutty, Driving Me Nuts"
792,🫘,TRUE,Beenz,"The Magical Fruit, Consume Legumes, Spill The Beans"
793,🍯,TRUE,Honey,"Takin My Sweet Time, Bee Tax"
794,🥛,TRUE,Milk,"Hot Sauce Solution, Milking It, Spill Me And Cry, Moo Juice"
795,🫗,TRUE,Drip,"Makin A Mess, Spill Over"
796,🍼,TRUE,Bottle,
797,🫖,TRUE,Tea,"Tempestuous Teapot, Short N Stout, Spill The Tea"
798,☕️,TRUE,"Cortado, Espresso, Double Double","Rise N Shine, Daily Grind, Spilled Beans, Hot Take, Boom Roasted, Central Perk, Shot In The Dark, Double Double, Full Steam Ahead, Hasta Barista, Brewed Awakening, We've All Bean There, Burial Grounds, Deja Brew, Grounds For Celebration, On What Grounds, Java Good Day, Coffee Froffer, Cappuccino Assassino "
799,🍵,TRUE,"Matcha, Cuppa","What's The Tea, A Matcha Made In Heaven"
800,🧃,TRUE,Juicebox,"Take a Stab at It, Insulin Management, Creative Juice"
801,🥤,TRUE,"Soda, Drink, Pop, Soft Drink, Slurpie, Slushie","Soda Poppins, Roll Up The Rim,"
802,🧋,TRUE,Boba,Boba Fett
803,🍶,TRUE,Sake,
804,🍺,TRUE,"Yeast, Microbrew, On-tap, Pint, Chalice, Mug, Stein, Tankard, Growler, Keg","Energy Drink, Yeasty Boi, Bar None, Wish You Were Beer, Brew Haha"
805,🍻,TRUE,"Clink, Slainte, Cheers, Brewskies",Pub Night with the Lads
806,🥂,TRUE,"Victory, Cheers","Champagne Socialist, Clink Clink"
807,🍷,TRUE,"Pinot, Zinfandel, Cabernet, Moscato, Malbec, Sangiovese, Syrah, Grenache, Shiraz, Gamay, Beaujolais","Glou Glou, Cork Taint, Pour Decisions, Pet Nat, Grape Therapy, In Vino Veritas, Send It Back, Fire The Tannins!"
808,🥃,TRUE,"Pappy, Whiskey, Scotch, Bourbon, Neat","Scotchy Scotch, Fire Water"
809,🍸,TRUE,"Tini, Bond, Martini",Shaken Not Stirred
810,🍹,TRUE,"Tiki, Margaritaville",It's 5 O'Clock Somewhere
811,🧉,TRUE,"Maté, Yerba",Ur The Bomba
812,🍾,TRUE,Bubbleh,"Bottle Service, Poppin Off"
813,🧊,TRUE,Freeze,"Iced Out Everything, Glacial Pace"
814,🥄,TRUE,Spoon,Spoon To Be Famous
815,🍴,TRUE,Dishes,
816,🍽️,TRUE,Gobble,Under The Table
817,🥣,TRUE,Fiber,"Bowled Over, Super Bowl"
818,🥡,TRUE,Umami,"Take Me Out, Special Delivery, Outside Box"
819,🥢,TRUE,Chopstick,"Stick With It, Shifty Sticks, Swizzle Sticks, Short Sticks, Fiddle Sticks, Slappy Sticks"
820,🧂,TRUE,Salt,"Dashed Salt, Pinched Salt, Salty Salt, Sprinkly Salt, Road Salt, Seeking Pepper"
821,⚽️,TRUE,Kick,
822,🏀,TRUE,Dunk,"Straight Hoopin, Air Ball, Double Dribble"
823,🏈,TRUE,Punt,"Hailin Mary, Fumble The Bag, Run It Back!, Whatever You Say Coach, Hut Hut Hut Hut"
824,⚾️,TRUE,"Change-Up, Grandslam, Sidewinder, Triple, Foul, Bullpen, Umpire, Strikeout, Fastball, Slugger, Curveball, Homerun, Yankees, Mets, Expos",Catch And Release
825,🥎,TRUE,Strikeout,
826,🎾,TRUE,"Smash, Challenger, Art, Patrick, Tashi, Grandslam, Love, Doubles, Backhand, Serve, Matchpoint","Boing Boing, Service Industry, Love Actually, Net Worth, String Theory, Court Summons, Ball Boy, To Serve And Protect"
827,🏐,TRUE,"Spike, Volley, Serve, Ace, Set","Set 4 Lyfe, Spike Jonze"
828,🏉,TRUE,"Rugby, Scrum, Tackle, Try, Ruck, Dropkick",
829,🥏,TRUE,"Frisbee, Disc Golf",
830,🎱,TRUE,"Hustler, Billiards","Scratch That, Rack Em Up, Deep Pockets, You Can Bank On It, Chalked Up 2 Envy, Sinking Feeling, Cue Tips, Outlook Not So Good, Reply Hazy, Try Again, Cannot Predict, Better Not Tell You, Don’t Count On It, My Sources Say No, Very Doubtful, Yes But Later, Ask Again Tomorrow, You May Rely On It, Concentrate Harder, Without A Doubt, Signs Point to Yes, Most Likely, As I See It Yes, It Is Decidedly So, Outlook Good, My Reply Is No, Yes Definitely, Cannot Confirm Nor Deny, Flip A Coin, Outlook Grim, Don't Quit Your Day Job, Sorry IDK, Shake Harder"
831,🪀,TRUE,"Yo-Yo, Sleeper, Whirl, Loop","Walk The Dog, Rock The Cradle, Around The World, Boingy Boing"
832,🏓,TRUE,"Ping Pong, Paddle, Rubber, Smash, Topspin, Backhand, Forehand, Lob, Serve, Chop","Return To Sender, Backhanded Compliment, Spin Off, Table Manners, Chop Chop, Table For Two, Spin Doctor, Return Policy"
833,🏸,TRUE,"Racket, Birdie, Badminton, Shuttlecock","Badmin Admin, Makin A Racket, Rickety Racket"
834,🏒,TRUE,"Slapshot, Cross-Check, Five-Hole, Clapper, Tip-In, Slash, Trip, Hook, Breakaway, One-Timer, Wraparound, Dump","Canada Wins Again, The Refs Are Asleep, Zamboni Tony, Coulda Gone Pro, Hockey Night in Canada, C’mon Ref"
835,🏑,TRUE,"Boop, Tomahawk, Scoop, Jab, Chip","Slappin Grass, Turf War, The Ol' Shin Shooter"
836,🥍,TRUE,"Crosscheck, Scoop, Cradle, Backhand, Lacrosse",
837,🏏,TRUE,"Bat, Cricket",Golden Wicket
838,🪃,TRUE,"Boomerang, Echo, Throwback",Guess Who's Back
839,🥅,TRUE,"Hat Trick, Hockey, Habs, Boards, Nordiques",Empty Netter
840,⛳️,TRUE,"Golf, Tee, Rough, Sandtrap, Bunker, Put, Bogey, Birdie, Fore","Par For The Course, Fore To The Floor, Silly Putt"
841,🪁,TRUE,"String, Kite, Float, Breeze","Kite Fight, Flyin High, Floatin Away, Dancin In The Wind, Chasin Clouds, Trade Winds, Second Wind"
842,🛝,TRUE,"Slide, Playground, Tube, Descent, Weeee","Helter Skelter, Old Rusty, Slippity Slide, Freudian Slip"
843,🏹,TRUE,"Archer, Quiver, Shaft, Arrow, Crossbow, Hunt, Aim, Sagittarius","Bad Aim, Off Target, Forgot My Bazooka"
844,🎣,TRUE,"Beluga, Bait, Hook, Line, Sinker","Bait N Switch, Captain Hook, Gone Fishin, 2 Reel"
845,🤿,TRUE,"Diver, Scuba, Snorkle, Cousteau","Don't Be Snorky, The Bends, Scuba Duba, Swimmin With Fishes, Holdin My Breath, Goin Deep, Foggy Goggles"
846,🥊,TRUE,"Pompom, Haymaker, Jab, Cross, Uppercut, Southpaw, Spar, KO","Throwin Hands, Rope A Dope, One-Two Punch, Punchin Clocks, Body Shots"
847,🥋,TRUE,"Kung Fu, Karate, Jiu Jitsu, Judo, Dojo",Dojo Mojo
848,🎽,TRUE,"Pinnie, Jersey, Marathon",
849,🛹,TRUE,"Ollie, Board, Sk8r, Kickflip, Rail, Ramp, Halfpipe, Thrasher, Grind, Shred, 180, 360, Boardslide",Shove It
850,🛼,TRUE,"Derby, Roller, Blocker, Jammer, Pivot",Holy Rollers
851,🛷,TRUE,"Sled, Toboggan, Sleigh, Bobsled","Jamaican Bobsleigh Team, Cool Runnings, Snow Day, Slippery Slope"
852,⛸️,TRUE,"Skate, Virtue, Moir, Stojko, Salé, Pelletier","Triple Axel, You're On Thin Ice"
853,🥌,TRUE,"Rock, Stone, Bumper, Pebble, Sweep","Hurry Hard, Manitoba Tucker"
854,🎿,TRUE,"Slope, Boot, Ski","Après Ski, Yard Sale, The Boots Are Off"
855,⛷️,TRUE,"Wipeout, Skier, Ski, Shredder, Mogul, Powdah, Halfpipe, Backflip, Slalom, Polez, Gogglez, 360","Tail Grab, Bunny Hill, Mogul Mogul, Goggle Tan"
856,🏂,TRUE,"360, Boarder, Snowboard, Pow, Stalefish, McTwist","Shred The Gnar, Goggle Tan, Face Plant"
857,🪂,TRUE,"Chute, Ripcord, Paratroopah, Glider",Afraid Of Heights?
858,🏋️‍♀️,TRUE,"Squat, Barbell, Dumbbell, Muscle, Deadlift, Clean, Snatch, Jerk, Set","Lift Heavy, Pumpin Iron, Feel The Bern, Bulkin Up"
859,🏋️,TRUE,,
860,🏋️‍♂️,TRUE,"Arnold, Samson, Ronnie, Jay, Flex",Poppa Squat
861,🤼‍♀️,TRUE,"Showdown, Battle, Grapple, Rumble, Scuffle, Smackdown, Throwdown",Takes Two To Tango
862,🤼,FALSE,,
863,🤼‍♂️,TRUE,"Fightclub, Suplex, Armbar, Powerbomb, Headlock, Piledriver","Hulk Hogan, Stone Cold Steve Austin"
864,🤸‍♀️,TRUE,"Cartwheel, Backflip, Handstand, Tuck, Handspring, Tsukahara",Simone Biles
865,🤸,FALSE,,
866,🤸‍♂️,TRUE,Parkour,
867,⛹️‍♀️,TRUE,"Dribble, Rebound, Block, Screen, Fadeaway, Floater, Layup, Alley-Oop, Pointguard, Wingman","Buzzer Beater, Three Pointer, Slam Dunk, Finger Roll, Pump Fake"
868,⛹️,FALSE,,
869,⛹️‍♂️,TRUE,"Lebron, Jordan, Kobe, Shaquille, Magic, Birdman, Kareem, Curry, Durant, Iverson, Dirk, Barkley, Pippen, Kawhi",Pick N Roll
870,🤺,TRUE,"Joust, Foil, Epee, Sabre, Parry, Riposte, Feint","En Garde, Escarmouche Scaramouche"
871,🤾‍♀️,TRUE,"Hurl, Toss, Lob, Fling, Chuck, Shoot, Throw, Dodge",
872,🤾,TRUE,,
873,🤾‍♂️,TRUE,"Thwoink, Dooomp, Paangth, Thuck, Boonk, Poing, Shyooing, Doontsk, Bhdonpt, Pwerk, Pihnk, Thwapoing, Thwump, Khtwhang, Shbping",
874,🏌️‍♀️,TRUE,"Wedge, Iron, Putt, Fairway, Tee, Bunker, Rough, Slice, Hook, Backspin, Fade, Draw, Bogey, Divot, Birdie, Eagle","Par For The Course, Wedge Issue, Rough Patch, Tee Time"
875,🏌️,FALSE,,
876,🏌️‍♂️,TRUE,"Sandtrap, Fore, Mulligan, Albatross, Caddie","Hole In One, Go Get Em Tiger"
877,🏇,TRUE,"Jockey, Steed, Derby, Stallion, Colt, Gallop, Hurdle, Furlong, Underdog, Bookie","Off To The Races, Hold Your Horses, Dark Horse, Pony Up, Horse Man"
878,🧘‍♀️,TRUE,"Yoga, Plank, Headstand, Lotus","Takin A Breather, Silence Retreat"
879,🧘,TRUE,,
880,🧘‍♂️,TRUE,"Flow, Balance, Breathwork, Ohm, Meditation, Yogi",Hot Yoga
881,🏄‍♀️,TRUE,"Beachbum, Swell, Break, Wetsuit, Surf","Board Meeting, Do A Barrel Roll, Wipe Out"
882,🏄,TRUE,,
883,🏄‍♂️,TRUE,"Wetsuit, Cowabunga, Wipeout, Stoke","One Gnarly Dude, Big Kahuna, Tubular Dudular, Shark Aperitif"
884,🏊‍♀️,TRUE,"Backstroke, Freestyle, Butterfly, Ledecky, Crawl, Olympian","Doggy Paddle, Stay In Ur Lane"
885,🏊,FALSE,,
886,🏊‍♂️,TRUE,"Phelps, Aquaman, Olympian, Lifeguard, Buoy","Throw Me A Line Pls, Lane Hog, Scuba Duba"
887,🤽‍♀️,TRUE,"Defense, Eggbeater, Polo","Thrashin N Splashin, Heads Up"
888,🤽,TRUE,,
889,🤽‍♂️,TRUE,Assist,"Tread Lightly, Over My Head, Super Splash Bros"
890,🚣‍♀️,TRUE,Rowboat,Row Row Row
891,🚣,FALSE,,
892,🚣‍♂️,TRUE,Lagoon,
893,🧗‍♀️,TRUE,"Dyno, Garnbret, Raboutou, Nonaka, Pilz, Yip",
894,🧗,FALSE,,
895,🧗‍♂️,TRUE,"Crimp, Ondra, Honnold, Narasaki, Megos, Schubert, Mawem",
896,🚵‍♀️,TRUE,Bike,"All Downhill From Here, Hold The Wheel, Bonk City"
897,🚵,FALSE,,
898,🚵‍♂️,TRUE,Cyclist,"Uphill Battle, Pain Cave, Droppin Hammers, Ride Or Die, Sendin It"
899,🚴‍♀️,TRUE,Wheelie,
900,🚴,TRUE,Zoomies,
901,🚴‍♂️,TRUE,Armstrong,
902,🏆,TRUE,,Participation Trophy
903,🥇,FALSE,,
